 Phone Model;Capacity (mAh);Voltage (V);Use Duration (minutes)
iPhone X;2716;3.81;884
iPhone 8 Plus;2691;3.82;870
iPhone 8;1821;3.82;973
iPhone 7 Plus;2900;3.82;1212
iPhone 7;1960;3.8;1043
iPhone 6s Plus;2750;3.8;898
iPhone 6s;1715;3.82;678
iPhone 6 Plus;2906;3.82;
iPhone 6;1809;3.82;
iPhone SE;1624;3.82;1006
iPhone 5s;1508;3.8;
iPhone 5c;1508;3.8;
iPhone 5;1434;3.8 ;
iPhone 4s;1432;3.7;
iPhone 4;1419;3.7;
iPhone 3GS;1219;3.7;
iPhone 3G;1150;3.7;
iPhone (original);1400;3.7;
Samsung Galaxy Note 7;3500;3.85;1317
Samsung Galaxy S7 Edge;3600;3.85;1122
Samsung Galaxy S7 ;3000;3.85;1068
OnePlus 3;3000;;1016
Samsung Galaxy S5 Neo;2800;;987
Samsung Galaxy S6;2550;3.85;
Samsung Galaxy S6 Edge;2600;3.85;933
Samsung Galaxy S6 Edge;3000;3.85;
Samsung Galaxy A5 (2015);2300;;926
Motorola Moto X Force;3760;;912
Samsung Galaxy A3 (2015);1900;;888
LG G3;3000;3.8;
Samsung Galaxy S7;3000;3.85;
Samsung Galaxy S7 Edge;3000;3.85;
Samsung Galaxy S8;3000;;
Samsung Galaxy S8+;3500;;
Samsung Galaxy S9;3000;;
Samsung Galaxy S9+;3500;;
Sony Xperia XZ2;3200;;
